Package,Homepage,Language,Version,Channel,Evironment,Link,Notes
plink,https://www.cog-genomics.org/plink/2.0/,C/C++,1.90b6.21,bioconda,"clumping, epistasis, fastlmm-gcta, ldpred2, pleiotropy, plink-r-nothnagel, plink, regenie, twas, vat",https://anaconda.org/bioconda/plink,
plink2,https://www.cog-genomics.org/plink/2.0/,C/C++,2.00a5.10,bioconda,"clumping, regenie",https://anaconda.org/bioconda/plink2,
gcta,https://yanglab.westlake.edu.cn/software/gcta,C/C++,1.94.1,bioconda,fastglmm-gcta,https://anaconda.org/bioconda/gcta,
FaSTLMM,http://research.microsoft.com/en-us/um/redmond/projects/mscompbio/fastlmm/,,0.2.32,bioconda,fastglmm-gcta,https://anaconda.org/bioconda/fastlmm,
susieR,https://github.com/stephenslab/susieR,R,0.12.35,conda-forge,finemap,https://anaconda.org/conda-forge/r-susier,
corrplot,https://github.com/taiyun/corrplot,R,0.84,conda-forge,finemap,https://anaconda.org/conda-forge/r-corrplot,
gemini,https://github.com/arq5x/gemini,,0.30.2-0,bioconda,gemini,https://anaconda.org/bioconda/gemini,in python=2.7
vt,,,2015.11.10,bioconda,gemini,https://anaconda.org/bioconda/vt,in python=2.7
variant-effect-predictor,,,87-0,bioconda,gemini,https://anaconda.org/bioconda/variant-effect-predictor,in python=2.7
igv,http://www.broadinstitute.org/software/igv/home,,2.4.14,bioconda,igv,https://anaconda.org/bioconda/igv,
data.table,https://r-datatable.com,R,,conda-forge,ldpred2,https://anaconda.org/conda-forge/r-data.table,
tidyverse,https://tidyverse.tidyverse.org,R,,conda-forge,ldpred2,https://anaconda.org/conda-forge/r-tidyverse,
bigsnpr,https://privefl.github.io/bigsnpr/,R,,conda-forge,ldpred2,https://anaconda.org/conda-forge/r-bigsnpr,
bigsparser,https://github.com/privefl/bigsparser,R,,conda-forge,ldpred2,https://anaconda.org/conda-forge/r-bigsparser,
ggplot2,"http://ggplot2.tidyverse.org, https://github.com/tidyverse/ggplot2",R,,conda-forge,"ldpred2, statgen-equations",https://anaconda.org/conda-forge/r-ggplot2,
gplots,https://CRAN.R-project.org/package=gplots,R,,conda-forge,ldpred2,https://anaconda.org/conda-forge/r-gplots,
R.utils,https://github.com/HenrikBengtsson/R.utils,R,,conda-forge,ldpred3,https://anaconda.org/conda-forge/r-r.utils,
curl,http://curl.haxx.se/,,,conda-forge,"nps, quanto",https://anaconda.org/conda-forge/libcurl,
make,https://www.gnu.org/software/make/,C/C++,,conda-forge,nps,https://anaconda.org/conda-forge/make,
gcc,https://gcc.gnu.org/onlinedocs/gccint/Libgcc.html,C/C++,,conda-forge,nps,https://anaconda.org/conda-forge/libgcc-ng,
g++,https://github.com/conda-forge/ctng-compiler-activation-feedstock,C/C++,,conda-forge,nps,https://anaconda.org/conda-forge/gxx,
libreadline-dev,https://tiswww.case.edu/php/chet/readline/rltop.html,,,conda-forge,"nps, saige",https://anaconda.org/conda-forge/m2-libreadline,
libz-dev,http://zlib.net/,,,conda-forge,"nps, saige",https://anaconda.org/conda-forge/libzlib,
